esemeny_id;gep_azonosito;datum;kezdes_idopont;vege_idopont;idotartam_perc;tevekenyseg_kod;megjegyzes
59;HA-ENI;2025.01.03;10:00:00;11:00:00;60,00;o;
60;HA-ENI;2025.01.03;11:00:00;12:00:00;60,00;o;
61;HA-ENI;2025.01.03;12:00:00;13:00:00;60,00;o;
62;HA-ENI;2025.01.03;13:00:00;14:00:00;60,00;o;
63;HA-ENI;2025.01.03;14:00:00;15:00:00;60,00;o;
64;HA-ENI;2025.01.03;15:00:00;16:00:00;60,00;o;
65;HA-ENI;2025.01.03;16:00:00;17:00:00;60,00;o;
66;HA-ENI;2025.01.03;17:00:00;18:00:00;60,00;m;
67;HA-ENI;2025.01.03;18:00:00;19:00:00;60,00;m;
68;HA-ENI;2025.01.03;19:00:00;20:00:00;60,00;m;
69;HA-ENI;2025.01.03;20:00:00;21:00:00;60,00;m;
70;HA-ENI;2025.01.03;21:00:00;22:00:00;60,00;m;
71;HA-ENI;2025.01.03;22:00:00;23:00:00;60,00;m;
72;HA-ENI;2025.01.03;23:00:00;0:00:00;60,00;m;
73;HA-ENI;2025.01.04;0:00:00;1:00:00;60,00;m;
74;HA-ENI;2025.01.04;1:00:00;2:00:00;60,00;m;
75;HA-ENI;2025.01.04;2:00:00;3:00:00;60,00;m;
76;HA-ENI;2025.01.04;3:00:00;4:00:00;60,00;m;
77;HA-ENI;2025.01.04;4:00:00;5:00:00;60,00;m;
78;HA-ENI;2025.01.04;5:00:00;6:00:00;60,00;m;
79;HA-ENI;2025.01.04;6:00:00;7:00:00;60,00;m;
80;HA-ENI;2025.01.04;7:00:00;8:00:00;60,00;m;
81;HA-ENI;2025.01.04;8:00:00;9:00:00;60,00;m;
82;HA-ENI;2025.01.04;9:00:00;10:00:00;60,00;o;
83;HA-ENI;2025.01.04;10:00:00;11:00:00;60,00;o;
84;HA-ENI;2025.01.04;11:00:00;12:00:00;60,00;o;
85;HA-ENI;2025.01.04;12:00:00;13:00:00;60,00;o;
86;HA-ENI;2025.01.04;13:00:00;14:00:00;60,00;o;
87;HA-ENI;2025.01.04;14:00:00;15:00:00;60,00;o;
88;HA-ENI;2025.01.04;15:00:00;16:00:00;60,00;m;
89;HA-ENI;2025.01.04;16:00:00;17:00:00;60,00;m;
90;HA-ENI;2025.01.04;17:00:00;18:00:00;60,00;m;
91;HA-ENI;2025.01.04;18:00:00;19:00:00;60,00;m;
92;HA-ENI;2025.01.04;19:00:00;20:00:00;60,00;m;
93;HA-ENI;2025.01.04;20:00:00;21:00:00;60,00;m;
94;HA-ENI;2025.01.04;21:00:00;22:00:00;60,00;m;
95;HA-ENI;2025.01.04;22:00:00;23:00:00;60,00;m;
96;HA-ENI;2025.01.04;23:00:00;0:00:00;60,00;m;
97;HA-ENI;2025.01.05;0:00:00;1:00:00;60,00;m;
98;HA-ENI;2025.01.05;1:00:00;2:00:00;60,00;m;
99;HA-ENI;2025.01.05;2:00:00;3:00:00;60,00;m;
100;HA-ENI;2025.01.05;3:00:00;4:00:00;60,00;m;
101;HA-ENI;2025.01.05;4:00:00;5:00:00;60,00;m;
102;HA-ENI;2025.01.05;5:00:00;6:00:00;60,00;m;
103;HA-ENI;2025.01.05;6:00:00;7:00:00;60,00;m;
104;HA-ENI;2025.01.05;7:00:00;8:00:00;60,00;m;
105;HA-ENI;2025.01.05;8:00:00;9:00:00;60,00;m;
106;HA-ENI;2025.01.05;9:00:00;10:00:00;60,00;o;
107;HA-ENI;2025.01.05;10:00:00;11:00:00;60,00;o;
108;HA-ENI;2025.01.05;11:00:00;12:00:00;60,00;o;
109;HA-ENI;2025.01.05;12:00:00;13:00:00;60,00;o;
110;HA-ENI;2025.01.05;13:00:00;14:00:00;60,00;o;
111;HA-ENI;2025.01.05;14:00:00;15:00:00;60,00;o;
112;HA-ENI;2025.01.05;15:00:00;16:00:00;60,00;m;
113;HA-ENI;2025.01.05;16:00:00;17:00:00;60,00;m;
114;HA-ENI;2025.01.05;17:00:00;18:00:00;60,00;m;
115;HA-ENI;2025.01.05;18:00:00;19:00:00;60,00;m;
116;HA-ENI;2025.01.05;19:00:00;20:00:00;60,00;m;
117;HA-ENI;2025.01.05;20:00:00;21:00:00;60,00;m;
118;HA-ENI;2025.01.05;21:00:00;22:00:00;60,00;m;
119;HA-ENI;2025.01.05;22:00:00;23:00:00;60,00;m;
120;HA-ENI;2025.01.05;23:00:00;0:00:00;60,00;m;
121;HA-ENI;2025.01.06;0:00:00;1:00:00;60,00;m;
122;HA-ENI;2025.01.06;1:00:00;2:00:00;60,00;m;
123;HA-ENI;2025.01.06;2:00:00;3:00:00;60,00;m;
124;HA-ENI;2025.01.06;3:00:00;4:00:00;60,00;m;
125;HA-ENI;2025.01.06;4:00:00;5:00:00;60,00;m;
126;HA-ENI;2025.01.06;5:00:00;6:00:00;60,00;m;
127;HA-ENI;2025.01.06;6:00:00;7:00:00;60,00;m;
128;HA-ENI;2025.01.06;7:00:00;8:00:00;60,00;o;
129;HA-ENI;2025.01.06;8:00:00;9:00:00;60,00;o;
130;HA-ENI;2025.01.06;9:00:00;10:00:00;60,00;r;
131;HA-ENI;2025.01.06;10:00:00;11:00:00;60,00;r;
132;HA-ENI;2025.01.06;11:00:00;12:00:00;60,00;cs;
133;HA-ENI;2025.01.06;12:00:00;13:00:00;60,00;a;
134;HA-ENI;2025.01.06;13:00:00;14:00:00;60,00;a;
135;HA-ENI;2025.01.06;14:00:00;15:00:00;60,00;a;
136;HA-ENI;2025.01.06;15:00:00;16:00:00;60,00;a;
137;HA-ENI;2025.01.06;16:00:00;17:00:00;60,00;a;
138;HA-ENI;2025.01.06;17:00:00;18:00:00;60,00;m;
139;HA-ENI;2025.01.06;18:00:00;19:00:00;60,00;m;
140;HA-ENI;2025.01.06;19:00:00;20:00:00;60,00;m;
141;HA-ENI;2025.01.06;20:00:00;21:00:00;60,00;m;
142;HA-ENI;2025.01.06;21:00:00;22:00:00;60,00;m;
143;HA-ENI;2025.01.06;22:00:00;23:00:00;60,00;m;
144;HA-ENI;2025.01.06;23:00:00;0:00:00;60,00;m;
145;HA-ENI;2025.01.07;0:00:00;1:00:00;60,00;m;
146;HA-ENI;2025.01.07;1:00:00;2:00:00;60,00;m;
147;HA-ENI;2025.01.07;2:00:00;3:00:00;60,00;m;
148;HA-ENI;2025.01.07;3:00:00;4:00:00;60,00;m;
149;HA-ENI;2025.01.07;4:00:00;5:00:00;60,00;m;
150;HA-ENI;2025.01.07;5:00:00;6:00:00;60,00;m;
151;HA-ENI;2025.01.07;6:00:00;7:00:00;60,00;m;
152;HA-ENI;2025.01.07;7:00:00;8:00:00;60,00;o;
153;HA-ENI;2025.01.07;8:00:00;9:00:00;60,00;o;
154;HA-ENI;2025.01.07;9:00:00;10:00:00;60,00;o;
155;HA-ENI;2025.01.07;10:00:00;11:00:00;60,00;r;
156;HA-ENI;2025.01.07;11:00:00;12:00:00;60,00;r;
157;HA-ENI;2025.01.07;12:00:00;13:00:00;60,00;d;
158;HA-ENI;2025.01.07;13:00:00;14:00:00;60,00;d;
159;HA-ENI;2025.01.07;14:00:00;15:00:00;60,00;d;
160;HA-ENI;2025.01.07;15:00:00;16:00:00;60,00;d;
161;HA-ENI;2025.01.07;16:00:00;17:00:00;60,00;dh;
162;HA-ENI;2025.01.07;17:00:00;18:00:00;60,00;m;
163;HA-ENI;2025.01.07;18:00:00;19:00:00;60,00;m;
164;HA-ENI;2025.01.07;19:00:00;20:00:00;60,00;m;
165;HA-ENI;2025.01.07;20:00:00;21:00:00;60,00;m;
166;HA-ENI;2025.01.07;21:00:00;22:00:00;60,00;m;
167;HA-ENI;2025.01.07;22:00:00;23:00:00;60,00;m;
168;HA-ENI;2025.01.07;23:00:00;0:00:00;60,00;m;
169;HA-ENI;2025.01.08;0:00:00;1:00:00;60,00;m;
170;HA-ENI;2025.01.08;1:00:00;2:00:00;60,00;m;
171;HA-ENI;2025.01.08;2:00:00;3:00:00;60,00;m;
172;HA-ENI;2025.01.08;3:00:00;4:00:00;60,00;m;
173;HA-ENI;2025.01.08;4:00:00;5:00:00;60,00;m;
174;HA-ENI;2025.01.08;5:00:00;6:00:00;60,00;m;
175;HA-ENI;2025.01.08;6:00:00;7:00:00;60,00;m;
176;HA-ENI;2025.01.08;7:00:00;8:00:00;60,00;o;
177;HA-ENI;2025.01.08;8:00:00;9:00:00;60,00;r;
178;HA-ENI;2025.01.08;9:00:00;10:00:00;60,00;r;
179;HA-ENI;2025.01.08;10:00:00;11:00:00;60,00;cs;
180;HA-ENI;2025.01.08;11:00:00;12:00:00;60,00;r;
181;HA-ENI;2025.01.08;12:00:00;13:00:00;60,00;r;
182;HA-ENI;2025.01.08;13:00:00;14:00:00;60,00;cs;
183;HA-ENI;2025.01.08;14:00:00;15:00:00;60,00;r;
184;HA-ENI;2025.01.08;15:00:00;16:00:00;60,00;r;
185;HA-ENI;2025.01.08;16:00:00;17:00:00;60,00;cs;
186;HA-ENI;2025.01.08;17:00:00;18:00:00;60,00;r;
187;HA-ENI;2025.01.08;18:00:00;19:00:00;60,00;m;
188;HA-ENI;2025.01.08;19:00:00;20:00:00;60,00;m;
189;HA-ENI;2025.01.08;20:00:00;21:00:00;60,00;m;
190;HA-ENI;2025.01.08;21:00:00;22:00:00;60,00;m;
191;HA-ENI;2025.01.08;22:00:00;23:00:00;60,00;m;
192;HA-ENI;2025.01.08;23:00:00;0:00:00;60,00;m;
193;HA-ENI;2025.01.09;0:00:00;1:00:00;60,00;m;
194;HA-ENI;2025.01.09;1:00:00;2:00:00;60,00;m;
195;HA-ENI;2025.01.09;2:00:00;3:00:00;60,00;m;
196;HA-ENI;2025.01.09;3:00:00;4:00:00;60,00;m;
197;HA-ENI;2025.01.09;4:00:00;5:00:00;60,00;m;
198;HA-ENI;2025.01.09;5:00:00;6:00:00;60,00;m;
199;HA-ENI;2025.01.09;6:00:00;7:00:00;60,00;m;
200;HA-ENI;2025.01.09;7:00:00;8:00:00;60,00;o;
201;HA-ENI;2025.01.09;8:00:00;9:00:00;60,00;r;
202;HA-ENI;2025.01.09;9:00:00;10:00:00;60,00;r;
203;HA-ENI;2025.01.09;10:00:00;11:00:00;60,00;r;
204;HA-ENI;2025.01.09;11:00:00;12:00:00;60,00;r;
205;HA-ENI;2025.01.09;12:00:00;13:00:00;60,00;d;
206;HA-ENI;2025.01.09;13:00:00;14:00:00;60,00;d;
207;HA-ENI;2025.01.09;14:00:00;15:00:00;60,00;d;
208;HA-ENI;2025.01.09;15:00:00;16:00:00;60,00;d;
209;HA-ENI;2025.01.09;16:00:00;17:00:00;60,00;dh;
210;HA-ENI;2025.01.09;17:00:00;18:00:00;60,00;m;
211;HA-ENI;2025.01.09;18:00:00;19:00:00;60,00;m;
212;HA-ENI;2025.01.09;19:00:00;20:00:00;60,00;m;
213;HA-ENI;2025.01.09;20:00:00;21:00:00;60,00;m;
214;HA-ENI;2025.01.09;21:00:00;22:00:00;60,00;m;
215;HA-ENI;2025.01.09;22:00:00;23:00:00;60,00;m;
216;HA-ENI;2025.01.09;23:00:00;0:00:00;60,00;m;
217;HA-ENI;2025.01.10;0:00:00;1:00:00;60,00;m;
218;HA-ENI;2025.01.10;1:00:00;2:00:00;60,00;m;
219;HA-ENI;2025.01.10;2:00:00;3:00:00;60,00;m;
220;HA-ENI;2025.01.10;3:00:00;4:00:00;60,00;m;
221;HA-ENI;2025.01.10;4:00:00;5:00:00;60,00;m;
222;HA-ENI;2025.01.10;5:00:00;6:00:00;60,00;m;
223;HA-ENI;2025.01.10;6:00:00;7:00:00;60,00;m;
224;HA-ENI;2025.01.10;7:00:00;8:00:00;60,00;at;
225;HA-ENI;2025.01.10;8:00:00;9:00:00;60,00;at;
226;HA-ENI;2025.01.10;9:00:00;10:00:00;60,00;cs;
227;HA-ENI;2025.01.10;10:00:00;11:00:00;60,00;a;
228;HA-ENI;2025.01.10;11:00:00;12:00:00;60,00;a;
229;HA-ENI;2025.01.10;12:00:00;13:00:00;60,00;a;
230;HA-ENI;2025.01.10;13:00:00;14:00:00;60,00;a;
231;HA-ENI;2025.01.10;14:00:00;15:00:00;60,00;o;
232;HA-ENI;2025.01.10;15:00:00;16:00:00;60,00;o;
233;HA-ENI;2025.01.10;16:00:00;17:00:00;60,00;o;
234;HA-ENI;2025.01.10;17:00:00;18:00:00;60,00;m;
235;HA-ENI;2025.01.10;18:00:00;19:00:00;60,00;m;
236;HA-ENI;2025.01.10;19:00:00;20:00:00;60,00;m;
237;HA-ENI;2025.01.10;20:00:00;21:00:00;60,00;m;
238;HA-ENI;2025.01.10;21:00:00;22:00:00;60,00;m;
239;HA-ENI;2025.01.10;22:00:00;23:00:00;60,00;m;
240;HA-ENI;2025.01.10;23:00:00;0:00:00;60,00;m;
241;HA-ENI;2025.01.11;0:00:00;1:00:00;60,00;m;
242;HA-ENI;2025.01.11;1:00:00;2:00:00;60,00;m;
243;HA-ENI;2025.01.11;2:00:00;3:00:00;60,00;m;
244;HA-ENI;2025.01.11;3:00:00;4:00:00;60,00;m;
245;HA-ENI;2025.01.11;4:00:00;5:00:00;60,00;m;
246;HA-ENI;2025.01.11;5:00:00;6:00:00;60,00;m;
247;HA-ENI;2025.01.11;6:00:00;7:00:00;60,00;m;
248;HA-ENI;2025.01.11;7:00:00;8:00:00;60,00;m;
249;HA-ENI;2025.01.11;8:00:00;9:00:00;60,00;m;
250;HA-ENI;2025.01.11;9:00:00;10:00:00;60,00;o;
251;HA-ENI;2025.01.11;10:00:00;11:00:00;60,00;o;
252;HA-ENI;2025.01.11;11:00:00;12:00:00;60,00;o;
253;HA-ENI;2025.01.11;12:00:00;13:00:00;60,00;o;
254;HA-ENI;2025.01.11;13:00:00;14:00:00;60,00;o;
255;HA-ENI;2025.01.11;14:00:00;15:00:00;60,00;o;
256;HA-ENI;2025.01.11;15:00:00;16:00:00;60,00;m;
257;HA-ENI;2025.01.11;16:00:00;17:00:00;60,00;m;
258;HA-ENI;2025.01.11;17:00:00;18:00:00;60,00;m;
259;HA-ENI;2025.01.11;18:00:00;19:00:00;60,00;m;
260;HA-ENI;2025.01.11;19:00:00;20:00:00;60,00;m;
261;HA-ENI;2025.01.11;20:00:00;21:00:00;60,00;m;
262;HA-ENI;2025.01.11;21:00:00;22:00:00;60,00;m;
263;HA-ENI;2025.01.11;22:00:00;23:00:00;60,00;m;
264;HA-ENI;2025.01.11;23:00:00;0:00:00;60,00;m;
265;HA-ENI;2025.01.12;0:00:00;1:00:00;60,00;m;
266;HA-ENI;2025.01.12;1:00:00;2:00:00;60,00;m;
267;HA-ENI;2025.01.12;2:00:00;3:00:00;60,00;m;
268;HA-ENI;2025.01.12;3:00:00;4:00:00;60,00;m;
269;HA-ENI;2025.01.12;4:00:00;5:00:00;60,00;m;
270;HA-ENI;2025.01.12;5:00:00;6:00:00;60,00;m;
271;HA-ENI;2025.01.12;6:00:00;7:00:00;60,00;m;
272;HA-ENI;2025.01.12;7:00:00;8:00:00;60,00;m;
273;HA-ENI;2025.01.12;8:00:00;9:00:00;60,00;m;
274;HA-ENI;2025.01.12;9:00:00;10:00:00;60,00;o;
275;HA-ENI;2025.01.12;10:00:00;11:00:00;60,00;o;
276;HA-ENI;2025.01.12;11:00:00;12:00:00;60,00;o;
277;HA-ENI;2025.01.12;12:00:00;13:00:00;60,00;o;
278;HA-ENI;2025.01.12;13:00:00;14:00:00;60,00;o;
279;HA-ENI;2025.01.12;14:00:00;15:00:00;60,00;o;
280;HA-ENI;2025.01.12;15:00:00;16:00:00;60,00;m;
281;HA-ENI;2025.01.12;16:00:00;17:00:00;60,00;m;
282;HA-ENI;2025.01.12;17:00:00;18:00:00;60,00;m;
283;HA-ENI;2025.01.12;18:00:00;19:00:00;60,00;m;
284;HA-ENI;2025.01.12;19:00:00;20:00:00;60,00;m;
285;HA-ENI;2025.01.12;20:00:00;21:00:00;60,00;m;
286;HA-ENI;2025.01.12;21:00:00;22:00:00;60,00;m;
287;HA-ENI;2025.01.12;22:00:00;23:00:00;60,00;m;
288;HA-ENI;2025.01.12;23:00:00;0:00:00;60,00;m;
289;HA-ENI;2025.01.13;0:00:00;1:00:00;60,00;m;
290;HA-ENI;2025.01.13;1:00:00;2:00:00;60,00;m;
291;HA-ENI;2025.01.13;2:00:00;3:00:00;60,00;m;
292;HA-ENI;2025.01.13;3:00:00;4:00:00;60,00;m;
293;HA-ENI;2025.01.13;4:00:00;5:00:00;60,00;m;
294;HA-ENI;2025.01.13;5:00:00;6:00:00;60,00;m;
295;HA-ENI;2025.01.13;6:00:00;7:00:00;60,00;m;
296;HA-ENI;2025.01.13;7:00:00;8:00:00;60,00;r;
297;HA-ENI;2025.01.13;8:00:00;9:00:00;60,00;r;
298;HA-ENI;2025.01.13;9:00:00;10:00:00;60,00;cs;
299;HA-ENI;2025.01.13;10:00:00;11:00:00;60,00;r;
300;HA-ENI;2025.01.13;11:00:00;12:00:00;60,00;r;
301;HA-ENI;2025.01.13;12:00:00;13:00:00;60,00;cs;
302;HA-ENI;2025.01.13;13:00:00;14:00:00;60,00;r;
303;HA-ENI;2025.01.13;14:00:00;15:00:00;60,00;r;
304;HA-ENI;2025.01.13;15:00:00;16:00:00;60,00;r;
305;HA-ENI;2025.01.13;16:00:00;17:00:00;60,00;dh;
306;HA-ENI;2025.01.13;17:00:00;18:00:00;60,00;m;
307;HA-ENI;2025.01.13;18:00:00;19:00:00;60,00;m;
308;HA-ENI;2025.01.13;19:00:00;20:00:00;60,00;m;
309;HA-ENI;2025.01.13;20:00:00;21:00:00;60,00;m;
310;HA-ENI;2025.01.13;21:00:00;22:00:00;60,00;m;
311;HA-ENI;2025.01.13;22:00:00;23:00:00;60,00;m;
312;HA-ENI;2025.01.13;23:00:00;0:00:00;60,00;m;
313;HA-ENI;2025.01.14;0:00:00;1:00:00;60,00;m;
314;HA-ENI;2025.01.14;1:00:00;2:00:00;60,00;m;
315;HA-ENI;2025.01.14;2:00:00;3:00:00;60,00;m;
316;HA-ENI;2025.01.14;3:00:00;4:00:00;60,00;m;
317;HA-ENI;2025.01.14;4:00:00;5:00:00;60,00;m;
318;HA-ENI;2025.01.14;5:00:00;6:00:00;60,00;m;
319;HA-ENI;2025.01.14;6:00:00;7:00:00;60,00;m;
320;HA-ENI;2025.01.14;7:00:00;8:00:00;60,00;r;
321;HA-ENI;2025.01.14;8:00:00;9:00:00;60,00;r;
322;HA-ENI;2025.01.14;9:00:00;10:00:00;60,00;r;
323;HA-ENI;2025.01.14;10:00:00;11:00:00;60,00;r;
324;HA-ENI;2025.01.14;11:00:00;12:00:00;60,00;cs;
325;HA-ENI;2025.01.14;12:00:00;13:00:00;60,00;r;
326;HA-ENI;2025.01.14;13:00:00;14:00:00;60,00;r;
327;HA-ENI;2025.01.14;14:00:00;15:00:00;60,00;r;
328;HA-ENI;2025.01.14;15:00:00;16:00:00;60,00;r;
329;HA-ENI;2025.01.14;16:00:00;17:00:00;60,00;dh;
330;HA-ENI;2025.01.14;17:00:00;18:00:00;60,00;m;
331;HA-ENI;2025.01.14;18:00:00;19:00:00;60,00;m;
332;HA-ENI;2025.01.14;19:00:00;20:00:00;60,00;m;
333;HA-ENI;2025.01.14;20:00:00;21:00:00;60,00;m;
334;HA-ENI;2025.01.14;21:00:00;22:00:00;60,00;m;
335;HA-ENI;2025.01.14;22:00:00;23:00:00;60,00;m;
336;HA-ENI;2025.01.14;23:00:00;0:00:00;60,00;m;
337;HA-ENI;2025.01.15;0:00:00;1:00:00;60,00;m;
338;HA-ENI;2025.01.15;1:00:00;2:00:00;60,00;m;
339;HA-ENI;2025.01.15;2:00:00;3:00:00;60,00;m;
340;HA-ENI;2025.01.15;3:00:00;4:00:00;60,00;m;
341;HA-ENI;2025.01.15;4:00:00;5:00:00;60,00;m;
342;HA-ENI;2025.01.15;5:00:00;6:00:00;60,00;m;
343;HA-ENI;2025.01.15;6:00:00;7:00:00;60,00;m;
344;HA-ENI;2025.01.15;7:00:00;8:00:00;60,00;a;
345;HA-ENI;2025.01.15;8:00:00;9:00:00;60,00;a;
346;HA-ENI;2025.01.15;9:00:00;10:00:00;60,00;a;
347;HA-ENI;2025.01.15;10:00:00;11:00:00;60,00;a;
348;HA-ENI;2025.01.15;11:00:00;12:00:00;60,00;cs;
349;HA-ENI;2025.01.15;12:00:00;13:00:00;60,00;a;
350;HA-ENI;2025.01.15;13:00:00;14:00:00;60,00;a;
351;HA-ENI;2025.01.15;14:00:00;15:00:00;60,00;a;
352;HA-ENI;2025.01.15;15:00:00;16:00:00;60,00;a;
353;HA-ENI;2025.01.15;16:00:00;17:00:00;60,00;dh;
354;HA-ENI;2025.01.15;17:00:00;18:00:00;60,00;m;
355;HA-ENI;2025.01.15;18:00:00;19:00:00;60,00;m;
356;HA-ENI;2025.01.15;19:00:00;20:00:00;60,00;m;
357;HA-ENI;2025.01.15;20:00:00;21:00:00;60,00;m;
358;HA-ENI;2025.01.15;21:00:00;22:00:00;60,00;m;
359;HA-ENI;2025.01.15;22:00:00;23:00:00;60,00;m;
360;HA-ENI;2025.01.15;23:00:00;0:00:00;60,00;m;
361;HA-ENI;2025.01.16;0:00:00;1:00:00;60,00;m;
362;HA-ENI;2025.01.16;1:00:00;2:00:00;60,00;m;
363;HA-ENI;2025.01.16;2:00:00;3:00:00;60,00;m;
364;HA-ENI;2025.01.16;3:00:00;4:00:00;60,00;m;
365;HA-ENI;2025.01.16;4:00:00;5:00:00;60,00;m;
366;HA-ENI;2025.01.16;5:00:00;6:00:00;60,00;m;
367;HA-ENI;2025.01.16;6:00:00;7:00:00;60,00;m;
368;HA-ENI;2025.01.16;7:00:00;8:00:00;60,00;a;
369;HA-ENI;2025.01.16;8:00:00;9:00:00;60,00;a;
370;HA-ENI;2025.01.16;9:00:00;10:00:00;60,00;a;
371;HA-ENI;2025.01.16;10:00:00;11:00:00;60,00;a;
372;HA-ENI;2025.01.16;11:00:00;12:00:00;60,00;cs;
373;HA-ENI;2025.01.16;12:00:00;13:00:00;60,00;a;
374;HA-ENI;2025.01.16;13:00:00;14:00:00;60,00;a;
375;HA-ENI;2025.01.16;14:00:00;15:00:00;60,00;a;
376;HA-ENI;2025.01.16;15:00:00;16:00:00;60,00;a;
377;HA-ENI;2025.01.16;16:00:00;17:00:00;60,00;dh;
378;HA-ENI;2025.01.16;17:00:00;18:00:00;60,00;m;
379;HA-ENI;2025.01.16;18:00:00;19:00:00;60,00;m;
380;HA-ENI;2025.01.16;19:00:00;20:00:00;60,00;m;
381;HA-ENI;2025.01.16;20:00:00;21:00:00;60,00;m;
382;HA-ENI;2025.01.16;21:00:00;22:00:00;60,00;m;
383;HA-ENI;2025.01.16;22:00:00;23:00:00;60,00;m;
384;HA-ENI;2025.01.16;23:00:00;0:00:00;60,00;m;
385;HA-ENI;2025.01.17;0:00:00;1:00:00;60,00;m;
386;HA-ENI;2025.01.17;1:00:00;2:00:00;60,00;m;
387;HA-ENI;2025.01.17;2:00:00;3:00:00;60,00;m;
388;HA-ENI;2025.01.17;3:00:00;4:00:00;60,00;m;
389;HA-ENI;2025.01.17;4:00:00;5:00:00;60,00;m;
390;HA-ENI;2025.01.17;5:00:00;6:00:00;60,00;m;
391;HA-ENI;2025.01.17;6:00:00;7:00:00;60,00;m;
392;HA-ENI;2025.01.17;7:00:00;8:00:00;60,00;o;
393;HA-ENI;2025.01.17;8:00:00;9:00:00;60,00;o;
394;HA-ENI;2025.01.17;9:00:00;10:00:00;60,00;o;
395;HA-ENI;2025.01.17;10:00:00;11:00:00;60,00;o;
